"","div_g","Nreadcounts","feat_len","r_cov","div_a","r_cov_n","sp"
"1","[0,2]",366210,10109325,3.62249705099005,1,5.44354022000052,"Tbi"
"2","(2,4]",485089,20241356,2.39652422495805,3,3.60126614960232,"Tbi"
"3","(4,6]",555039,30137177,1.84170866435167,5,2.76754267755215,"Tbi"
"4","(6,8]",599316,35926484,1.66817326181989,7,2.50677036221856,"Tbi"
"5","(8,10]",545171,37445622,1.4559005055384,9,2.18778727674916,"Tbi"
"6","(10,12]",490284,40714362,1.20420405949134,11,1.80956206137903,"Tbi"
"7","(12,14]",433523,43664697,0.992845547514048,13,1.49195281433398,"Tbi"
"8","(14,16]",365530,43254750,0.845063258948439,15,1.26987980218598,"Tbi"
"9","(16,18]",293090,41567057,0.705101638540347,17,1.05955893809041,"Tbi"
"10","(18,20]",240355,39013225,0.616085955467665,19,0.925794729535831,"Tbi"
"11","(20,22]",193412,35979077,0.537567987083159,21,0.807805477128581,"Tbi"
"12","(22,24]",166639,33621986,0.495625094841215,23,0.744777731999079,"Tbi"
"13","(24,26]",144866,31187991,0.464492887663075,25,0.697995244801395,"Tbi"
"14","(26,28]",131265,28399749,0.462204789204299,27,0.694556910466722,"Tbi"
"15","(28,30]",118434,24703137,0.479428989119884,29,0.720439781778429,"Tbi"
"16","(30,32]",106495,20402467,0.521971191032928,31,0.784368111850567,"Tbi"
"17","(32,34]",84305,14827180,0.56858418121315,33,0.854413631073608,"Tbi"
"18","(34,36]",56576,9040117,0.625832608139917,35,0.940441061909595,"Tbi"
"19","[0,2]",372244,14296325,2.60377404682672,1,4.18598622920642,"Tte"
"20","(2,4]",467950,22242641,2.10384189539363,3,3.38226476036894,"Tte"
"21","(4,6]",546734,31409675,1.74065475048691,5,2.79838291814184,"Tte"
"22","(6,8]",560930,36507980,1.53645860439279,7,2.47010471879166,"Tte"
"23","(8,10]",488253,37557537,1.30001336349612,9,2.08998090445335,"Tte"
"24","(10,12]",445107,40357202,1.10291838368775,11,1.7731189738534,"Tte"
"25","(12,14]",391170,43015340,0.90937326079487,13,1.46196401010106,"Tte"
"26","(14,16]",330136,43006179,0.767647830326893,15,1.23411754969474,"Tte"
"27","(16,18]",270478,40852762,0.662080081635606,17,1.06440038748222,"Tte"
"28","(18,20]",217588,37916855,0.573855611178723,19,0.922565338906624,"Tte"
"29","(20,22]",180568,35422404,0.509756480672514,21,0.819515660717344,"Tte"
"30","(22,24]",152799,33095672,0.461688767038784,23,0.742239067694438,"Tte"
"31","(24,26]",133963,30689113,0.436516363310989,25,0.701770373612096,"Tte"
"32","(26,28]",120299,28061210,0.428702112275272,27,0.68920770625356,"Tte"
"33","(28,30]",109060,24452235,0.446012399275567,29,0.717036781167013,"Tte"
"34","(30,32]",95917,20172798,0.475476926899283,31,0.764405755841778,"Tte"
"35","(32,34]",77092,14683770,0.52501503360513,33,0.844046242597668,"Tte"
"36","(34,36]",52463,9014831,0.581963211512229,35,0.93559961251778,"Tte"
